rank,team,code,points,previous_rank,previous_points,rank_change,points_change,confederation,flag,updated
194,Timor-Leste,TLS,855.36,195,855.36,1,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/TLS,2026-07-20
195,São Tomé and Príncipe,STP,854.76,193,865.08,-2,-10.32,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/STP,2026-07-20
196,Cayman Islands,CAY,853.37,197,853.37,1,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CAY,2026-07-20
197,Sri Lanka,SRI,852.3,196,855.13,-1,-2.83,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/SRI,2026-07-20
198,Tonga,TGA,835.64,198,835.64,0,0.0,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/TGA,2026-07-20
199,Pakistan,PAK,829.41,201,829.41,2,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/PAK,2026-07-20
200,Gibraltar,GIB,827.19,199,835.18,-1,-7.99,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/GIB,2026-07-20
201,Somalia,SOM,824.76,200,832.13,-1,-7.37,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SOM,2026-07-20
202,Guam,GUM,823.08,202,823.08,0,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/GUM,2026-07-20
203,Seychelles,SEY,812.32,203,820.71,0,-8.39,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SEY,2026-07-20
204,Liechtenstein,LIE,808.48,204,811.66,0,-3.18,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/LIE,2026-07-20
205,Bahamas,BAH,807.36,205,807.36,0,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/BAH,2026-07-20
206,Turks and Caicos Islands,TCA,803.98,206,803.98,0,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/TCA,2026-07-20
207,US Virgin Islands,VIR,779.71,207,779.71,0,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/VIR,2026-07-20
208,British Virgin Islands,VGB,768.5,208,768.5,0,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/VGB,2026-07-20
209,Anguilla,AIA,758.52,209,758.52,0,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/AIA,2026-07-20
210,San Marino,SMR,733.23,210,738.24,0,-5.01,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/SMR,2026-07-20
